order_id,order_date,customer_id,product_id,product_name,category,channel,seller_id,seller_name,quantity,unit_price,discount,total_amount,payment_status
76,2025-11-01 16:54:17,332,12,Short Deportivo,Ropa,Web,7,Vendedor_7,3,28,0.2,67.2,paid
77,2025-11-12 16:54:17,363,14,Cinturón Casual,Accesorios,Instagram,2,Vendedor_2,4,33,0.15,112.2,pending
78,2025-11-04 16:54:17,239,6,Pantalón Cargo,Ropa,Facebook,5,Vendedor_5,5,88,0.15,374.0,pending
79,2026-01-14 16:54:17,385,11,Buzo Hoodie,Ropa,Facebook,2,Vendedor_2,3,77,0.05,219.45,pending
80,2026-03-10 16:54:17,109,11,Buzo Hoodie,Ropa,Web,8,Vendedor_8,3,43,0.15,109.65,pending
81,2026-01-05 16:54:17,486,11,Buzo Hoodie,Ropa,Instagram,10,Vendedor_10,3,21,0.2,50.4,paid
82,2025-12-03 16:54:17,331,8,Campera Denim,Ropa,Facebook,8,Vendedor_8,5,50,0.15,212.5,pending
83,2026-02-22 16:54:17,157,1,Zapatillas Urban,Calzado,Web,5,Vendedor_5,2,111,0.05,210.9,pending
84,2025-11-02 16:54:17,181,18,Camisa Lino,Ropa,Facebook,6,Vendedor_6,4,90,0.1,324.0,pending
85,2026-01-12 16:54:17,162,10,Mochila City,Accesorios,Mercado Libre,4,Vendedor_4,1,56,0.05,53.2,paid
86,2026-01-21 16:54:17,145,7,Campera Rompeviento,Ropa,Mercado Libre,8,Vendedor_8,3,87,0.2,208.8,paid
87,2026-01-18 16:54:17,363,10,Mochila City,Accesorios,Instagram,6,Vendedor_6,2,29,0.0,58.0,pending
88,2026-03-04 16:54:17,327,2,Zapatillas Running,Calzado,Facebook,9,Vendedor_9,3,149,0.05,424.65,paid
89,2025-10-22 16:54:17,175,1,Zapatillas Urban,Calzado,Instagram,5,Vendedor_5,4,121,0.15,411.4,paid
90,2025-11-15 16:54:17,38,9,Gorra Classic,Accesorios,Mercado Libre,2,Vendedor_2,1,35,0.15,29.75,paid
91,2025-10-24 16:54:17,286,5,Pantalón Chino,Ropa,Facebook,5,Vendedor_5,1,51,0.0,51.0,paid
92,2025-12-10 16:54:17,220,17,Camisa Oxford,Ropa,Web,8,Vendedor_8,4,58,0.2,185.6,paid
93,2026-02-20 16:54:17,81,20,Piluso Trend,Accesorios,Instagram,4,Vendedor_4,2,26,0.0,52.0,paid
94,2026-02-26 16:54:17,353,18,Camisa Lino,Ropa,Facebook,3,Vendedor_3,1,72,0.15,61.2,pending
95,2026-01-17 16:54:17,37,2,Zapatillas Running,Calzado,Instagram,5,Vendedor_5,3,149,0.15,379.95,pending
96,2025-09-29 16:54:17,116,19,Riñonera Sport,Accesorios,Instagram,4,Vendedor_4,4,17,0.2,54.4,pending
97,2026-02-27 16:54:17,384,5,Pantalón Chino,Ropa,Web,1,Vendedor_1,2,59,0.2,94.4,pending
98,2025-11-18 16:54:17,277,4,Remera Oversize,Ropa,Facebook,5,Vendedor_5,4,54,0.2,172.8,pending
99,2025-10-15 16:54:17,129,3,Remera Básica,Ropa,Mercado Libre,1,Vendedor_1,4,61,0.2,195.2,paid
100,2025-09-26 16:54:17,296,8,Campera Denim,Ropa,Mercado Libre,10,Vendedor_10,5,22,0.1,99.0,paid
101,2025-11-05 16:54:17,224,16,Sandalias Beach,Calzado,Facebook,8,Vendedor_8,3,83,0.2,199.2,paid
102,2025-12-18 16:54:17,440,16,Sandalias Beach,Calzado,Instagram,7,Vendedor_7,3,101,0.0,303.0,pending
103,2025-09-21 16:54:17,417,14,Cinturón Casual,Accesorios,Mercado Libre,8,Vendedor_8,3,52,0.15,132.6,pending
104,2025-12-27 16:54:17,443,3,Remera Básica,Ropa,Mercado Libre,5,Vendedor_5,3,34,0.15,86.7,pending
105,2026-03-04 16:54:17,388,14,Cinturón Casual,Accesorios,Facebook,4,Vendedor_4,5,33,0.2,132.0,pending
106,2026-01-24 16:54:17,225,2,Zapatillas Running,Calzado,Facebook,5,Vendedor_5,5,76,0.1,342.0,paid
107,2025-10-07 16:54:17,160,1,Zapatillas Urban,Calzado,Mercado Libre,10,Vendedor_10,2,150,0.05,285.0,pending
108,2026-01-19 16:54:17,256,3,Remera Básica,Ropa,Web,2,Vendedor_2,4,35,0.05,133.0,pending
109,2025-11-14 16:54:17,75,14,Cinturón Casual,Accesorios,Facebook,8,Vendedor_8,2,39,0.2,62.4,paid
110,2025-11-07 16:54:17,175,20,Piluso Trend,Accesorios,Web,3,Vendedor_3,1,27,0.15,22.95,paid
111,2025-12-31 16:54:17,444,10,Mochila City,Accesorios,Instagram,10,Vendedor_10,5,52,0.15,221.0,pending
112,2025-11-14 16:54:17,194,18,Camisa Lino,Ropa,Facebook,6,Vendedor_6,3,90,0.2,216.0,pending
113,2025-09-20 16:54:17,439,7,Campera Rompeviento,Ropa,Facebook,4,Vendedor_4,5,69,0.05,327.75,paid
114,2025-11-16 16:54:17,494,11,Buzo Hoodie,Ropa,Mercado Libre,7,Vendedor_7,4,39,0.15,132.6,paid
115,2025-10-17 16:54:17,270,17,Camisa Oxford,Ropa,Facebook,6,Vendedor_6,1,76,0.0,76.0,paid
116,2025-12-03 16:54:17,174,5,Pantalón Chino,Ropa,Facebook,3,Vendedor_3,1,80,0.1,72.0,paid
117,2025-09-26 16:54:17,447,11,Buzo Hoodie,Ropa,Mercado Libre,9,Vendedor_9,4,60,0.15,204.0,paid
118,2025-10-07 16:54:17,51,8,Campera Denim,Ropa,Mercado Libre,5,Vendedor_5,2,31,0.15,52.7,pending
119,2025-09-21 16:54:17,408,6,Pantalón Cargo,Ropa,Mercado Libre,5,Vendedor_5,1,25,0.1,22.5,pending
120,2025-12-12 16:54:17,211,12,Short Deportivo,Ropa,Instagram,7,Vendedor_7,2,51,0.2,81.6,paid
121,2026-02-25 16:54:17,468,6,Pantalón Cargo,Ropa,Instagram,10,Vendedor_10,4,50,0.15,170.0,paid
122,2025-10-05 16:54:17,461,15,Botas Trekking,Calzado,Facebook,5,Vendedor_5,4,92,0.0,368.0,pending
123,2026-02-05 16:54:17,154,18,Camisa Lino,Ropa,Facebook,2,Vendedor_2,4,64,0.2,204.8,pending
124,2025-12-30 16:54:17,55,15,Botas Trekking,Calzado,Instagram,4,Vendedor_4,4,169,0.15,574.6,pending
125,2025-12-16 16:54:17,12,19,Riñonera Sport,Accesorios,Facebook,10,Vendedor_10,3,54,0.1,145.8,pending
126,2025-10-24 16:54:17,427,1,Zapatillas Urban,Calzado,Web,1,Vendedor_1,5,155,0.15,658.75,paid
127,2025-12-17 16:54:17,348,20,Piluso Trend,Accesorios,Instagram,4,Vendedor_4,2,49,0.1,88.2,paid
128,2025-12-28 16:54:17,375,2,Zapatillas Running,Calzado,Instagram,8,Vendedor_8,1,134,0.1,120.6,paid
129,2025-12-24 16:54:17,403,10,Mochila City,Accesorios,Web,7,Vendedor_7,2,22,0.05,41.8,pending
130,2026-01-11 16:54:17,240,6,Pantalón Cargo,Ropa,Mercado Libre,8,Vendedor_8,3,63,0.0,189.0,paid
131,2025-09-25 16:54:17,405,8,Campera Denim,Ropa,Facebook,7,Vendedor_7,5,66,0.0,330.0,paid
132,2025-10-31 16:54:17,300,9,Gorra Classic,Accesorios,Facebook,2,Vendedor_2,4,33,0.1,118.8,pending
133,2025-09-26 16:54:17,453,4,Remera Oversize,Ropa,Web,4,Vendedor_4,4,23,0.2,73.6,paid
134,2025-10-06 16:54:17,72,3,Remera Básica,Ropa,Mercado Libre,8,Vendedor_8,3,72,0.0,216.0,paid
135,2025-11-11 16:54:17,70,10,Mochila City,Accesorios,Facebook,2,Vendedor_2,1,25,0.2,20.0,pending
136,2025-09-27 16:54:17,336,12,Short Deportivo,Ropa,Mercado Libre,9,Vendedor_9,4,39,0.15,132.6,pending
137,2025-12-03 16:54:17,112,20,Piluso Trend,Accesorios,Facebook,5,Vendedor_5,1,54,0.1,48.6,pending
138,2025-12-15 16:54:17,32,8,Campera Denim,Ropa,Facebook,2,Vendedor_2,3,89,0.1,240.3,pending
139,2026-02-14 16:54:17,498,7,Campera Rompeviento,Ropa,Mercado Libre,8,Vendedor_8,1,47,0.2,37.6,paid
140,2026-01-14 16:54:17,425,11,Buzo Hoodie,Ropa,Instagram,3,Vendedor_3,5,46,0.0,230.0,paid
141,2025-12-23 16:54:17,440,8,Campera Denim,Ropa,Instagram,3,Vendedor_3,5,20,0.1,90.0,paid
142,2026-01-12 16:54:17,8,18,Camisa Lino,Ropa,Web,3,Vendedor_3,1,23,0.05,21.85,paid
143,2025-12-25 16:54:17,65,19,Riñonera Sport,Accesorios,Facebook,1,Vendedor_1,2,26,0.0,52.0,paid
144,2025-11-16 16:54:17,56,3,Remera Básica,Ropa,Facebook,8,Vendedor_8,3,85,0.2,204.0,paid
145,2026-03-06 16:54:17,32,20,Piluso Trend,Accesorios,Facebook,9,Vendedor_9,3,39,0.0,117.0,pending
146,2025-09-23 16:54:17,38,14,Cinturón Casual,Accesorios,Mercado Libre,2,Vendedor_2,4,55,0.15,187.0,pending
147,2026-02-08 16:54:17,325,20,Piluso Trend,Accesorios,Web,2,Vendedor_2,2,27,0.2,43.2,pending
148,2025-11-02 16:54:17,221,20,Piluso Trend,Accesorios,Mercado Libre,5,Vendedor_5,4,42,0.2,134.4,paid
149,2026-01-21 16:54:17,174,18,Camisa Lino,Ropa,Facebook,7,Vendedor_7,4,49,0.15,166.6,pending
150,2026-02-21 16:54:17,192,14,Cinturón Casual,Accesorios,Instagram,6,Vendedor_6,4,30,0.1,108.0,pending
151,2026-02-22 16:54:17,382,3,Remera Básica,Ropa,Web,2,Vendedor_2,1,75,0.0,75.0,paid
152,2026-03-02 16:54:17,211,18,Camisa Lino,Ropa,Web,10,Vendedor_10,5,62,0.0,310.0,pending
153,2026-01-03 16:54:17,296,2,Zapatillas Running,Calzado,Instagram,10,Vendedor_10,3,105,0.0,315.0,paid
154,2026-01-19 16:54:17,189,16,Sandalias Beach,Calzado,Mercado Libre,2,Vendedor_2,3,168,0.2,403.2,pending
155,2026-01-19 16:54:17,315,19,Riñonera Sport,Accesorios,Mercado Libre,7,Vendedor_7,5,59,0.2,236.0,pending
156,2026-01-30 16:54:17,180,1,Zapatillas Urban,Calzado,Mercado Libre,5,Vendedor_5,3,177,0.1,477.9,paid
157,2025-10-24 16:54:17,47,5,Pantalón Chino,Ropa,Instagram,7,Vendedor_7,1,38,0.0,38.0,pending
158,2025-11-21 16:54:17,370,14,Cinturón Casual,Accesorios,Web,6,Vendedor_6,2,33,0.1,59.4,paid
159,2026-02-06 16:54:17,140,2,Zapatillas Running,Calzado,Facebook,3,Vendedor_3,5,66,0.0,330.0,pending
160,2025-10-13 16:54:17,387,16,Sandalias Beach,Calzado,Mercado Libre,8,Vendedor_8,4,94,0.05,357.2,pending
161,2026-02-17 16:54:17,342,14,Cinturón Casual,Accesorios,Web,5,Vendedor_5,5,41,0.2,164.0,paid
162,2025-12-06 16:54:17,155,8,Campera Denim,Ropa,Instagram,10,Vendedor_10,1,20,0.05,19.0,paid
163,2026-01-02 16:54:17,383,9,Gorra Classic,Accesorios,Facebook,6,Vendedor_6,1,10,0.15,8.5,paid
164,2025-12-10 16:54:17,427,5,Pantalón Chino,Ropa,Web,9,Vendedor_9,2,84,0.2,134.4,paid
165,2026-03-07 16:54:17,442,13,Medias Training,Accesorios,Web,7,Vendedor_7,1,39,0.0,39.0,pending
166,2025-12-04 16:54:17,11,19,Riñonera Sport,Accesorios,Web,7,Vendedor_7,3,17,0.15,43.35,paid
167,2025-11-20 16:54:17,125,20,Piluso Trend,Accesorios,Facebook,6,Vendedor_6,1,37,0.0,37.0,pending
168,2026-02-25 16:54:17,171,17,Camisa Oxford,Ropa,Instagram,7,Vendedor_7,3,63,0.05,179.55,paid
169,2025-10-06 16:54:17,464,17,Camisa Oxford,Ropa,Web,2,Vendedor_2,5,85,0.05,403.75,pending
170,2026-01-16 16:54:17,89,5,Pantalón Chino,Ropa,Instagram,2,Vendedor_2,2,52,0.05,98.8,paid
171,2025-10-08 16:54:17,330,6,Pantalón Cargo,Ropa,Web,8,Vendedor_8,4,77,0.2,246.4,pending
172,2025-11-25 16:54:17,408,5,Pantalón Chino,Ropa,Web,2,Vendedor_2,4,76,0.1,273.6,paid
173,2025-11-08 16:54:17,20,12,Short Deportivo,Ropa,Mercado Libre,2,Vendedor_2,3,79,0.15,201.45,pending
174,2026-02-26 16:54:17,197,10,Mochila City,Accesorios,Facebook,2,Vendedor_2,5,48,0.2,192.0,paid
175,2025-10-22 16:54:17,257,15,Botas Trekking,Calzado,Instagram,4,Vendedor_4,3,137,0.15,349.35,paid
176,2026-02-19 16:54:17,21,15,Botas Trekking,Calzado,Instagram,6,Vendedor_6,1,124,0.05,117.8,pending
177,2025-11-03 16:54:17,191,15,Botas Trekking,Calzado,Web,9,Vendedor_9,5,80,0.1,360.0,pending
178,2025-12-21 16:54:17,34,14,Cinturón Casual,Accesorios,Web,10,Vendedor_10,1,60,0.1,54.0,paid
179,2025-09-25 16:54:17,448,18,Camisa Lino,Ropa,Instagram,7,Vendedor_7,3,52,0.2,124.8,pending
180,2025-10-19 16:54:17,67,3,Remera Básica,Ropa,Mercado Libre,3,Vendedor_3,3,59,0.15,150.45,pending
181,2025-12-11 16:54:17,331,18,Camisa Lino,Ropa,Facebook,6,Vendedor_6,2,87,0.0,174.0,pending
182,2025-12-15 16:54:17,486,1,Zapatillas Urban,Calzado,Facebook,5,Vendedor_5,2,87,0.1,156.6,paid
183,2026-02-10 16:54:17,260,8,Campera Denim,Ropa,Mercado Libre,3,Vendedor_3,1,57,0.0,57.0,pending
184,2026-02-12 16:54:17,93,20,Piluso Trend,Accesorios,Instagram,10,Vendedor_10,4,19,0.05,72.2,pending
185,2025-12-02 16:54:17,146,2,Zapatillas Running,Calzado,Facebook,6,Vendedor_6,2,116,0.2,185.6,paid
186,2026-01-15 16:54:17,348,18,Camisa Lino,Ropa,Facebook,5,Vendedor_5,4,44,0.1,158.4,pending
187,2025-12-10 16:54:17,419,10,Mochila City,Accesorios,Instagram,9,Vendedor_9,5,36,0.05,171.0,paid
188,2026-03-04 16:54:17,365,9,Gorra Classic,Accesorios,Mercado Libre,8,Vendedor_8,3,45,0.0,135.0,pending
189,2026-02-04 16:54:17,426,3,Remera Básica,Ropa,Facebook,5,Vendedor_5,4,85,0.05,323.0,paid
190,2025-11-22 16:54:17,203,8,Campera Denim,Ropa,Web,6,Vendedor_6,1,73,0.0,73.0,paid
191,2026-02-25 16:54:17,477,13,Medias Training,Accesorios,Mercado Libre,6,Vendedor_6,2,11,0.1,19.8,pending
192,2026-02-10 16:54:17,389,5,Pantalón Chino,Ropa,Facebook,1,Vendedor_1,3,80,0.05,228.0,pending
193,2026-03-16 16:54:17,428,20,Piluso Trend,Accesorios,Instagram,2,Vendedor_2,1,26,0.05,24.7,pending
194,2026-01-03 16:54:17,123,4,Remera Oversize,Ropa,Facebook,4,Vendedor_4,3,35,0.0,105.0,pending
195,2026-02-17 16:54:17,324,3,Remera Básica,Ropa,Instagram,8,Vendedor_8,5,88,0.0,440.0,paid
196,2025-11-28 16:54:17,293,10,Mochila City,Accesorios,Facebook,1,Vendedor_1,5,32,0.05,152.0,paid
197,2025-11-03 16:54:17,260,3,Remera Básica,Ropa,Mercado Libre,6,Vendedor_6,1,87,0.2,69.6,pending
198,2026-03-06 16:54:17,183,16,Sandalias Beach,Calzado,Mercado Libre,7,Vendedor_7,3,92,0.0,276.0,pending
199,2025-09-30 16:54:17,23,8,Campera Denim,Ropa,Web,2,Vendedor_2,5,62,0.05,294.5,pending
200,2025-09-23 16:54:17,33,6,Pantalón Cargo,Ropa,Facebook,8,Vendedor_8,4,43,0.05,163.4,paid
201,2026-01-25 16:54:17,478,10,Mochila City,Accesorios,Web,1,Vendedor_1,2,12,0.1,21.6,pending
202,2025-11-16 16:54:17,183,18,Camisa Lino,Ropa,Mercado Libre,5,Vendedor_5,1,44,0.1,39.6,pending
203,2026-02-14 16:54:17,459,9,Gorra Classic,Accesorios,Facebook,6,Vendedor_6,4,35,0.15,119.0,pending
204,2025-11-10 16:54:17,411,6,Pantalón Cargo,Ropa,Mercado Libre,8,Vendedor_8,3,86,0.1,232.2,pending
205,2025-11-27 16:54:17,165,3,Remera Básica,Ropa,Mercado Libre,10,Vendedor_10,2,89,0.1,160.2,paid
206,2025-09-29 16:54:17,368,11,Buzo Hoodie,Ropa,Facebook,5,Vendedor_5,3,77,0.2,184.8,paid
207,2025-12-18 16:54:17,315,15,Botas Trekking,Calzado,Facebook,8,Vendedor_8,1,153,0.1,137.7,pending
208,2026-02-26 16:54:17,488,2,Zapatillas Running,Calzado,Mercado Libre,7,Vendedor_7,3,125,0.05,356.25,paid
209,2025-09-25 16:54:17,121,20,Piluso Trend,Accesorios,Web,8,Vendedor_8,1,18,0.0,18.0,pending
210,2025-10-23 16:54:17,486,13,Medias Training,Accesorios,Web,1,Vendedor_1,5,19,0.15,80.75,pending
211,2026-02-26 16:54:17,204,15,Botas Trekking,Calzado,Web,10,Vendedor_10,2,127,0.1,228.6,pending
212,2026-02-16 16:54:17,199,8,Campera Denim,Ropa,Mercado Libre,1,Vendedor_1,2,83,0.2,132.8,pending
213,2025-09-18 16:54:17,356,9,Gorra Classic,Accesorios,Facebook,8,Vendedor_8,2,49,0.1,88.2,paid
214,2026-02-11 16:54:17,45,4,Remera Oversize,Ropa,Web,2,Vendedor_2,4,42,0.15,142.8,pending
215,2025-10-28 16:54:17,365,3,Remera Básica,Ropa,Instagram,9,Vendedor_9,3,58,0.05,165.3,pending
216,2026-01-19 16:54:17,405,17,Camisa Oxford,Ropa,Facebook,2,Vendedor_2,2,37,0.05,70.3,paid
217,2025-10-27 16:54:17,67,12,Short Deportivo,Ropa,Mercado Libre,10,Vendedor_10,3,79,0.2,189.6,paid
218,2025-12-06 16:54:17,422,10,Mochila City,Accesorios,Mercado Libre,8,Vendedor_8,5,36,0.15,153.0,paid
219,2025-10-04 16:54:17,177,11,Buzo Hoodie,Ropa,Instagram,2,Vendedor_2,4,79,0.2,252.8,paid
220,2025-11-27 16:54:17,79,5,Pantalón Chino,Ropa,Web,9,Vendedor_9,1,35,0.2,28.0,paid
