comment_id,date,channel,customer_id,comment_text
101,2026-02-18 16:54:17,Facebook,24,Sin comentarios
102,2025-12-29 16:54:17,Web,33,Entrega rápida
103,2026-01-07 16:54:17,Web,321,Cumple con lo esperado
104,2026-03-05 16:54:17,Instagram,335,No respondieron mis mensajes
105,2025-12-29 16:54:17,Instagram,492,Recibido correctamente
106,2026-01-31 16:54:17,Web,390,Mala atención
107,2026-01-29 16:54:17,Web,76,Muy buena calidad
108,2026-01-30 16:54:17,Facebook,37,Muy buena calidad
109,2026-03-10 16:54:17,Facebook,494,Normal
110,2026-01-04 16:54:17,Mercado Libre,330,Excelente servicio
111,2026-01-26 16:54:17,Facebook,483,Recibido correctamente
112,2026-03-10 16:54:17,Mercado Libre,280,La experiencia fue mala
113,2026-01-20 16:54:17,Facebook,135,Muy buena calidad
114,2025-12-18 16:54:17,Instagram,246,Sin comentarios
115,2026-02-11 16:54:17,Instagram,367,Llegó antes de lo esperado
116,2025-12-23 16:54:17,Instagram,292,Tardó mucho
117,2026-02-06 16:54:17,Web,442,Mala atención
118,2026-03-15 16:54:17,Mercado Libre,202,Normal
119,2026-01-18 16:54:17,Facebook,389,Volvería a comprar
120,2026-02-03 16:54:17,Web,5,Llegó antes de lo esperado
121,2026-02-25 16:54:17,Web,425,Excelente servicio
122,2026-03-08 16:54:17,Facebook,109,La experiencia fue mala
123,2026-02-05 16:54:17,Web,67,La experiencia fue mala
124,2026-02-22 16:54:17,Web,55,Todo ok
125,2026-01-08 16:54:17,Web,95,Producto estándar
126,2026-03-10 16:54:17,Instagram,339,Producto estándar
127,2025-12-18 16:54:17,Instagram,113,Mala atención
128,2026-02-06 16:54:17,Web,439,La atención fue impecable
129,2026-03-09 16:54:17,Mercado Libre,378,Muy buena calidad
130,2026-01-03 16:54:17,Mercado Libre,330,No cumplió mis expectativas
131,2025-12-21 16:54:17,Mercado Libre,183,Mala atención
132,2026-03-17 16:54:17,Facebook,262,Producto defectuoso
133,2026-02-14 16:54:17,Mercado Libre,78,La atención fue impecable
134,2026-03-06 16:54:17,Facebook,202,Todo ok
135,2026-02-17 16:54:17,Instagram,316,Excelente servicio
136,2026-02-09 16:54:17,Web,491,Todo ok
137,2026-02-03 16:54:17,Facebook,166,Producto estándar
138,2026-02-22 16:54:17,Mercado Libre,88,Producto estándar
139,2026-01-01 16:54:17,Facebook,160,Volvería a comprar
140,2026-01-26 16:54:17,Mercado Libre,119,Mala atención
141,2026-01-23 16:54:17,Instagram,409,Excelente servicio
142,2025-12-19 16:54:17,Instagram,235,Llegó dañado
143,2026-01-31 16:54:17,Instagram,40,Producto defectuoso
144,2026-01-17 16:54:17,Facebook,456,Excelente servicio
145,2025-12-19 16:54:17,Instagram,1,Todo ok
146,2026-03-03 16:54:17,Mercado Libre,411,Llegó dañado
147,2026-02-25 16:54:17,Instagram,366,Recibido correctamente
148,2026-03-17 16:54:17,Instagram,97,No cumplió mis expectativas
149,2025-12-18 16:54:17,Instagram,51,Cumple con lo esperado
150,2025-12-23 16:54:17,Instagram,35,Llegó dañado
151,2026-01-09 16:54:17,Mercado Libre,268,Producto estándar
152,2026-01-14 16:54:17,Mercado Libre,352,Llegó dañado
153,2026-01-04 16:54:17,Mercado Libre,223,La atención fue impecable
154,2026-03-03 16:54:17,Facebook,109,Recibido correctamente
155,2026-01-29 16:54:17,Web,282,Recibido correctamente
156,2026-03-07 16:54:17,Web,292,Todo ok
157,2025-12-19 16:54:17,Facebook,86,La atención fue impecable
158,2026-01-28 16:54:17,Mercado Libre,363,Muy buena calidad
159,2026-02-02 16:54:17,Instagram,246,Recibido correctamente
160,2025-12-18 16:54:17,Instagram,35,Recibido correctamente
161,2026-01-28 16:54:17,Instagram,261,Producto estándar
162,2026-01-15 16:54:17,Instagram,412,Sin comentarios
163,2026-02-10 16:54:17,Web,493,Tardó mucho
164,2026-03-11 16:54:17,Mercado Libre,264,Muy recomendable
165,2026-02-24 16:54:17,Facebook,84,Excelente servicio
166,2026-03-11 16:54:17,Instagram,283,Llegó antes de lo esperado
167,2025-12-29 16:54:17,Web,275,Muy recomendable
168,2025-12-27 16:54:17,Instagram,70,Muy recomendable
169,2026-03-10 16:54:17,Web,46,Producto defectuoso
170,2026-02-10 16:54:17,Facebook,143,Llegó antes de lo esperado
171,2026-03-01 16:54:17,Mercado Libre,34,No cumplió mis expectativas
172,2026-01-30 16:54:17,Instagram,359,Excelente servicio
173,2025-12-21 16:54:17,Instagram,377,Excelente servicio
174,2026-03-01 16:54:17,Mercado Libre,325,Llegó antes de lo esperado
175,2026-03-11 16:54:17,Web,480,Muy recomendable
176,2026-02-17 16:54:17,Instagram,67,Todo ok
177,2026-01-13 16:54:17,Web,436,Muy recomendable
178,2025-12-18 16:54:17,Mercado Libre,125,Llegó dañado
179,2026-02-21 16:54:17,Mercado Libre,461,Muy recomendable
180,2026-01-12 16:54:17,Mercado Libre,214,No respondieron mis mensajes
181,2026-03-11 16:54:17,Facebook,130,La experiencia fue mala
182,2026-02-20 16:54:17,Mercado Libre,350,Muy buena calidad
183,2026-02-01 16:54:17,Instagram,479,Todo ok
184,2026-01-18 16:54:17,Facebook,183,La experiencia fue mala
185,2026-01-02 16:54:17,Mercado Libre,313,Recibido correctamente
186,2026-02-17 16:54:17,Instagram,394,Entrega rápida
187,2025-12-20 16:54:17,Mercado Libre,334,Volvería a comprar
188,2025-12-31 16:54:17,Mercado Libre,213,Entrega rápida
189,2026-01-16 16:54:17,Web,194,Cumple con lo esperado
190,2026-03-12 16:54:17,Instagram,299,Sin comentarios
191,2026-02-18 16:54:17,Mercado Libre,484,Excelente servicio
192,2026-02-12 16:54:17,Instagram,432,Recibido correctamente
193,2026-02-10 16:54:17,Mercado Libre,318,La experiencia fue mala
194,2026-01-26 16:54:17,Instagram,78,Producto estándar
195,2026-03-07 16:54:17,Instagram,481,La atención fue impecable
196,2026-01-23 16:54:17,Facebook,8,Sin comentarios
197,2026-03-10 16:54:17,Web,208,Recibido correctamente
198,2026-01-29 16:54:17,Facebook,431,La experiencia fue mala
199,2026-01-18 16:54:17,Mercado Libre,197,Mala atención
200,2025-12-18 16:54:17,Facebook,477,Muy recomendable
201,2026-03-07 16:54:17,Facebook,186,Llegó dañado
202,2026-03-10 16:54:17,Web,298,Tardó mucho
203,2026-02-13 16:54:17,Web,336,Muy buena calidad
204,2026-01-20 16:54:17,Facebook,201,Llegó antes de lo esperado
205,2025-12-20 16:54:17,Web,310,Llegó antes de lo esperado
206,2026-02-17 16:54:17,Facebook,177,Excelente servicio
207,2026-02-07 16:54:17,Facebook,86,Todo ok
208,2026-02-21 16:54:17,Instagram,434,Volvería a comprar
209,2026-01-27 16:54:17,Instagram,223,La atención fue impecable
210,2026-03-06 16:54:17,Web,496,Muy recomendable
211,2026-02-13 16:54:17,Instagram,403,No cumplió mis expectativas
212,2025-12-22 16:54:17,Instagram,471,No respondieron mis mensajes
213,2025-12-24 16:54:17,Web,137,Muy recomendable
214,2026-03-05 16:54:17,Mercado Libre,274,Normal
215,2025-12-31 16:54:17,Mercado Libre,379,Cumple con lo esperado
216,2026-01-24 16:54:17,Instagram,328,Mala atención
217,2026-02-06 16:54:17,Mercado Libre,337,Cumple con lo esperado
218,2026-01-03 16:54:17,Facebook,135,Mala atención
219,2026-02-20 16:54:17,Web,413,Mala atención
220,2026-02-28 16:54:17,Web,485,Todo ok
221,2026-02-22 16:54:17,Web,342,Muy buena calidad
222,2026-01-30 16:54:17,Instagram,116,Mala atención
223,2026-02-12 16:54:17,Instagram,487,Muy buena calidad
224,2025-12-19 16:54:17,Instagram,40,Entrega rápida
225,2025-12-17 16:54:17,Web,435,Sin comentarios
226,2026-01-13 16:54:17,Facebook,15,Llegó dañado
227,2026-02-11 16:54:17,Web,443,Todo ok
228,2026-01-27 16:54:17,Web,256,No respondieron mis mensajes
229,2026-01-18 16:54:17,Facebook,301,Producto defectuoso
230,2025-12-26 16:54:17,Web,485,Llegó antes de lo esperado
231,2026-01-30 16:54:17,Instagram,224,Llegó dañado
232,2026-01-04 16:54:17,Facebook,439,Producto defectuoso
233,2026-01-26 16:54:17,Facebook,477,Cumple con lo esperado
234,2026-01-12 16:54:17,Facebook,493,Entrega rápida
235,2026-01-21 16:54:17,Instagram,464,Producto defectuoso
236,2026-03-01 16:54:17,Mercado Libre,91,No respondieron mis mensajes
237,2026-02-09 16:54:17,Web,12,Recibido correctamente
238,2025-12-18 16:54:17,Mercado Libre,294,No respondieron mis mensajes
239,2025-12-28 16:54:17,Web,261,Entrega rápida
240,2026-02-02 16:54:17,Instagram,390,La experiencia fue mala
241,2025-12-31 16:54:17,Instagram,166,Llegó dañado
242,2026-01-03 16:54:17,Facebook,204,Tardó mucho
243,2026-01-19 16:54:17,Instagram,58,Mala atención
244,2026-03-16 16:54:17,Facebook,446,Producto defectuoso
245,2026-02-28 16:54:17,Instagram,189,Producto estándar
246,2026-03-02 16:54:17,Web,93,La experiencia fue mala
247,2026-03-02 16:54:17,Web,27,Producto defectuoso
248,2025-12-24 16:54:17,Instagram,127,Volvería a comprar
249,2026-01-23 16:54:17,Mercado Libre,155,No respondieron mis mensajes
250,2026-02-06 16:54:17,Instagram,368,Muy buena calidad
251,2026-01-19 16:54:17,Facebook,113,Todo ok
252,2026-02-17 16:54:17,Mercado Libre,493,Excelente servicio
253,2026-03-14 16:54:17,Mercado Libre,254,Sin comentarios
254,2026-01-31 16:54:17,Instagram,73,La atención fue impecable
255,2026-03-07 16:54:17,Web,374,Recibido correctamente
256,2026-01-19 16:54:17,Mercado Libre,470,Recibido correctamente
257,2026-02-10 16:54:17,Web,81,Llegó antes de lo esperado
258,2026-01-30 16:54:17,Web,379,Volvería a comprar
259,2026-01-21 16:54:17,Facebook,133,Producto defectuoso
260,2025-12-20 16:54:17,Facebook,25,La atención fue impecable
261,2026-01-13 16:54:17,Instagram,330,Volvería a comprar
262,2025-12-25 16:54:17,Mercado Libre,355,Sin comentarios
263,2026-01-24 16:54:17,Web,449,Muy recomendable
264,2026-02-17 16:54:17,Facebook,237,Todo ok
265,2026-03-01 16:54:17,Facebook,205,No respondieron mis mensajes
266,2026-01-24 16:54:17,Instagram,100,Todo ok
267,2026-03-17 16:54:17,Mercado Libre,143,Muy buena calidad
268,2025-12-25 16:54:17,Mercado Libre,474,Llegó dañado
269,2026-02-26 16:54:17,Facebook,478,Recibido correctamente
270,2026-03-09 16:54:17,Mercado Libre,475,Llegó dañado
271,2026-02-04 16:54:17,Mercado Libre,19,Excelente servicio
272,2026-02-26 16:54:17,Facebook,439,Volvería a comprar
273,2026-03-01 16:54:17,Mercado Libre,159,Volvería a comprar
274,2026-02-05 16:54:17,Facebook,340,Llegó antes de lo esperado
275,2026-03-02 16:54:17,Facebook,14,Cumple con lo esperado
276,2026-02-07 16:54:17,Instagram,496,Producto estándar
277,2025-12-19 16:54:17,Mercado Libre,394,Llegó antes de lo esperado
278,2026-01-26 16:54:17,Mercado Libre,254,Volvería a comprar
279,2026-03-13 16:54:17,Instagram,63,Llegó antes de lo esperado
280,2026-01-28 16:54:17,Web,180,Muy recomendable
281,2026-01-10 16:54:17,Facebook,91,Excelente servicio
282,2025-12-31 16:54:17,Instagram,295,Normal
283,2026-02-14 16:54:17,Web,66,Llegó dañado
284,2025-12-29 16:54:17,Web,424,Llegó antes de lo esperado
285,2026-02-15 16:54:17,Instagram,87,Muy recomendable
286,2025-12-26 16:54:17,Facebook,117,Cumple con lo esperado
287,2026-02-21 16:54:17,Instagram,1,Tardó mucho
288,2026-01-30 16:54:17,Facebook,354,Mala atención
289,2026-01-31 16:54:17,Instagram,67,Mala atención
290,2026-01-22 16:54:17,Facebook,45,Sin comentarios
291,2026-02-01 16:54:17,Mercado Libre,241,La experiencia fue mala
292,2026-03-06 16:54:17,Mercado Libre,283,Todo ok
293,2026-03-12 16:54:17,Instagram,200,Cumple con lo esperado
294,2026-01-13 16:54:17,Mercado Libre,392,Sin comentarios
295,2026-02-25 16:54:17,Instagram,196,Muy buena calidad
296,2026-03-05 16:54:17,Mercado Libre,252,La atención fue impecable
297,2026-02-26 16:54:17,Facebook,52,Llegó dañado
298,2025-12-25 16:54:17,Instagram,458,Recibido correctamente
299,2025-12-21 16:54:17,Instagram,362,Entrega rápida
300,2026-01-13 16:54:17,Facebook,473,Producto defectuoso
